"","X.1","X","Address","Postal_code","Price","Beds","Baths_num","Description","Img_uri","Square_feet","Year_built","Id_code","Style","PropertyID","YearBuilt","Baths","Status","ParkingTypeDescription","Storeys","NewConstruction","Neighbourhood","LivingArea","Basement","BasementDevelopment","CondoType","ConstructionType","EnsuiteYN","Exterior","Flooring","Foundation","FrontExposure","GarageYN","HeatingFuel","HeatingType","HOAFeeYN","LotShape","Other","Parking","PropertySubType","PropertyType","Region","RoofType","SiteInfluences","Zone","ID","TotalRooms","Fireplaces","County","Amenities","AmenitiesNearBy","BasementType","ExteriorFinish","Features","FenceType","LandscapeFeatures","Structure","TransactionType","FPFuel","AssociationFee","CoolingType","FireProtection","BasementFeatures","ViewType","ConstructionStyleSplitLevel","CondoFeeInclude","SchoolDistrict","CeilingHeight","LotArea","Appliances","FireplaceType","PoolType","WaterFrontType","ConstructionMaterial","FlooringType","FoundationType","LeasePerUnit","Sewer","EfficiencyRating","AccessType","SewerSeptic","ElementarySchool","EstimatedAnnualTaxes","MaintenanceFeeType","Access","ArchitecturalStyle","Area","ConstructionMaterials","CountyOrParish","DrivewayType","FoundationDetails","Garage","Heating","InteriorFeatures","KitchenAppliances","LotFeatures","ParkingFeatures","Possession","Roof","Utilities","LotSize","FarmType","BodyofWater","CurrentValidPercTest","District","DOCUMENTSONFILE","DRIVEWAY/PARKING","Easements","EnvironmentalAssessment","LANDFEATURES","PropertyGated","PROPERTYSIZE","Restr/ProtCovenants","Road","SEWAGEDISPOSAL","Sign","Sub-District","Survey","TitletoLand","Type","UTILITIES","WATERACCESS/VIEW","WATERFRONTAGE","WaterFrontageUnits","WATERSOURCE","Waterfront","Fixture","EquipmentType","RentalEquipmentType","Distinctivefeatures","Sewagesystem","Watersupply","Zoning","ExteriorFeatures","HeatType","CommunityFeatures","SurfaceWater","EquipIncl","FeaturesInterior","GaragesParkingDescription","ParkingSurface","WaterHeater","WaterHeaterType","WaterSoftener","RoofMaterial"
"1663",NA,NA,NA,NA,"6e+05","4","4",NA,NA,"2116",NA,"4166150","Other",NA,NA,"4(Full:33/4:01/2:1Other:0)","Active","Attached2cars","2","No",NA,NA,NA,"Finished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Canada","GolfCourse,Playground,PublicTransit,Schools,Shopping","GolfCourse,Playground,PublicTransit,Schools,Shopping","Full(Finished)","Vinylsiding",NA,"Fence","Landscaped","Deck,Patio(s)","Forsale",NA,NA,NA,NA,"Walkout",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1664",NA,NA,NA,NA,"599000",NA,NA,NA,NA,NA,NA,"4166249","Other",NA,NA,NA,"Active",NA,"0","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FireplacePresent-False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Canada",NA,NA,NA,NA,NA,NA,NA,NA,"Forsale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1665",NA,NA,NA,NA,"580000","3","3",NA,NA,"2189",NA,"4166086","Other",NA,NA,"3(Full:23/4:01/2:1Other:0)","Active","Attached2cars","2","No",NA,NA,NA,"Unfinished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-True",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Canada","GolfCourse,Playground,PublicTransit,Schools,Shopping","GolfCourse,Playground,PublicTransit,Schools,Shopping","Full(Unfinished)","Vinylsiding","Flat,Levellot,NoAnimalHome,Nobacklane,NoSmokingHome","Fence","Landscaped","Deck","Forsale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1666",NA,NA,NA,NA,"549900","4","4",NA,NA,"1203",NA,"4166079","Other",NA,NA,"4(Full:43/4:01/2:0Other:0)","Active","Detached2cars","1","No",NA,"1,203",NA,"Finished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-False",NA,NA,NA,NA,NA,NA,NA,NA,"9",NA,"Canada","Park,Playground,PublicTransit,Schools,Shopping","Park,Playground,PublicTransit,Schools,Shopping","Full(Finished)",NA,"NoAnimalHome,NoSmokingHome,Park/reserve","Fence","Landscaped",NA,"Forsale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1667",NA,NA,NA,NA,"509900","3","3",NA,NA,"1915",NA,"4165724","Other",NA,NA,"3(Full:23/4:01/2:1Other:0)","Active","Attached2cars","2","No",NA,NA,NA,"Unfinished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-True",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Canada","Schools,Shopping","Schools,Shopping","Full(Unfinished)","Vinylsiding",NA,"Fence","Landscaped,Undergroundsprinkler","Deck","Forsale",NA,NA,NA,"Alarmsystem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1668",NA,NA,NA,NA,"504900","6","4",NA,NA,"1746",NA,"4166242","Other",NA,NA,"4(Full:33/4:01/2:1Other:0)","Active","Attached2cars","2","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-True",NA,NA,NA,NA,NA,NA,NA,NA,"12","1","Canada","Playground,PublicTransit,Schools,Shopping","Playground,PublicTransit,Schools,Shopping",NA,"Stone,Vinylsiding",NA,"Fence",NA,"Deck","Forsale",NA,NA,NA,NA,"Apartmentinbasement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1669",NA,NA,NA,NA,"504900","6","4",NA,NA,"1746",NA,"4166242","Other",NA,NA,"4(Full:33/4:01/2:1Other:0)","Active","Attached2cars","2","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-True",NA,NA,NA,NA,NA,NA,NA,NA,"12","1","Canada","Playground,PublicTransit,Schools,Shopping","Playground,PublicTransit,Schools,Shopping",NA,"Stone,Vinylsiding",NA,"Fence",NA,"Deck","Forsale",NA,NA,NA,NA,"Apartmentinbasement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1670",NA,NA,NA,NA,"499900","3","3",NA,NA,"1890",NA,"4166236","Other",NA,NA,"3(Full:23/4:01/2:1Other:0)","Active","Attached2cars","2","No",NA,NA,NA,"Unfinished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-True",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Canada",NA,NA,"Full(Unfinished)","Stone,Vinylsiding",NA,NA,NA,NA,"Forsale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1671",NA,NA,NA,NA,"479900","4","4",NA,NA,"1721",NA,"4164887","Other",NA,NA,"4(Full:33/4:01/2:1Other:0)","Active","Attached2cars","2","No",NA,NA,NA,"Finished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-True",NA,NA,NA,NA,NA,NA,NA,NA,"11","1","Canada",NA,NA,"Full(Finished)","Vinylsiding",NA,"Fence","Landscaped,Undergroundsprinkler","Deck","Forsale",NA,NA,"Centralairconditioning","Alarmsystem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1672",NA,NA,NA,NA,"474900","3","3",NA,NA,"1922",NA,"4166337","Other",NA,NA,"3(Full:23/4:01/2:1Other:0)","Active","Detached2cars","2","No",NA,NA,NA,"Unfinished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Canada",NA,NA,"Full(Unfinished)","Stone,Vinylsiding",NA,"Fence","Landscaped","Deck","Forsale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1673",NA,NA,NA,NA,"464900","4","4",NA,NA,"1876",NA,"4164709","Other",NA,NA,"4(Full:33/4:01/2:1Other:0)","Active","Attached2cars","2","No",NA,NA,NA,"Finished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-False",NA,NA,NA,NA,NA,NA,NA,NA,"15",NA,"Canada","Playground,PublicTransit,Schools,Shopping","Playground,PublicTransit,Schools,Shopping","Full(Finished)",NA,NA,"Fence","Landscaped","Deck","Forsale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1674",NA,NA,NA,NA,"450000","3","3",NA,NA,"1442",NA,"4166226","Other",NA,NA,"3(Full:23/4:01/2:1Other:0)","Active","Detached2cars","2","No",NA,NA,NA,"Unfinished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-False",NA,NA,NA,NA,NA,NA,NA,NA,"7",NA,"Canada",NA,NA,"Full(Unfinished)",NA,NA,NA,NA,NA,"Forsale",NA,NA,"Centralairconditioning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1675",NA,NA,NA,NA,"449900","5","3",NA,NA,"1860",NA,"4166296","Other",NA,NA,"3(Full:33/4:01/2:0Other:0)","Active","Attached2cars","2","No",NA,NA,NA,"Finished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Canada","Playground,PublicTransit,Schools,Shopping","Playground,PublicTransit,Schools,Shopping","Unknown(Finished)","Vinylsiding",NA,"Fence","Landscaped","Deck","Forsale",NA,NA,NA,NA,"Walkout",NA,"Splitlevel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1676",NA,NA,NA,NA,"449900","3","3",NA,NA,"1551","2010","101300181","2Storey","101300181","2010","3(Full:23/4:01/2:1Other:0)","Active","Detached2cars","0","No","Evanston",NA,"Full","Unfinished","NotaCondo","WoodFrame","1","Vinyl,Stone","Hardwood,CeramicTile,Carpet","Concrete","Northwest","1","NaturalGas","ForcedAir-1","0","Rectangular",NA,NA,"Detached","Detached","Calgary","AsphaltShingles",NA,"ZoneN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GasOnly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Municipal/Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1677",NA,NA,NA,NA,"449900","3","3",NA,NA,"1551","2010","101300181","2Storey","101300181","2010","3(Full:23/4:01/2:1Other:0)","Active","Detached2cars","0","No","Evanston",NA,"Full","Unfinished","NotaCondo","WoodFrame","1","Vinyl,Stone","Hardwood,CeramicTile,Carpet","Concrete","Northwest","1","NaturalGas","ForcedAir-1","0","Rectangular",NA,NA,"Detached","Detached","Calgary","AsphaltShingles",NA,"ZoneN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GasOnly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Municipal/Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1678",NA,NA,NA,NA,"434500","3","3",NA,NA,"1567",NA,"4165806","Other",NA,NA,"3(Full:23/4:01/2:1Other:0)","Active","Attached2cars","2","No",NA,NA,NA,"Finished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-True",NA,NA,NA,NA,NA,NA,NA,NA,"10","2","Canada","Playground,PublicTransit,Schools","Playground,PublicTransit,Schools","Full(Finished)","Vinylsiding",NA,"Fence","Landscaped","Deck","Forsale",NA,NA,NA,"Alarmsystem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1679",NA,NA,NA,NA,"425000","2","1",NA,NA,"910",NA,"4166159","Other",NA,NA,"1(Full:13/4:01/2:0Other:0)","Active",NA,"1","No",NA,NA,NA,"Unfinished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Canada",NA,NA,"Partial(Unfinished)","Wood","Backlane","Fence",NA,NA,"Forsale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1680",NA,NA,NA,NA,"419900","1","2",NA,NA,"1063",NA,"4165621","Other",NA,NA,"2(Full:23/4:01/2:0Other:0)","Active","Other2cars","1","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Canada","Playground,PublicTransit,Schools,Shopping","Playground,PublicTransit,Schools,Shopping",NA,NA,NA,NA,"Landscaped","Patio(s)","Forsale",NA,NA,"Centralairconditioning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1681",NA,NA,NA,NA,"409800","4","3",NA,NA,"1282",NA,"4166142","Other",NA,NA,"3(Full:23/4:01/2:1Other:0)","Active","Detached2cars","2","No",NA,NA,NA,"Finished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Canada","Park,Playground,PublicTransit,Schools,Shopping","Park,Playground,PublicTransit,Schools,Shopping","Full(Finished)","Vinylsiding",NA,"Fence","Landscaped",NA,"Forsale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1682",NA,NA,NA,NA,"4e+05","2","2",NA,NA,"1252",NA,"4165791","Other",NA,NA,"2(Full:23/4:01/2:0Other:0)","Active","Surface0cars","2","No",NA,NA,NA,"Finished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-True",NA,NA,NA,NA,NA,NA,NA,NA,"7","1","Canada","Playground,PublicTransit,Schools,Shopping","Playground,PublicTransit,Schools,Shopping","Full(Finished)","Vinylsiding",NA,NA,"Landscaped",NA,"Forsale",NA,NA,NA,NA,NA,"Cityview","Splitlevel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1683",NA,NA,NA,NA,"4e+05","1","1",NA,NA,"550",NA,"4166316","Other",NA,NA,"1(Full:13/4:01/2:0Other:0)","Active","Other1car","1","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FireplacePresent-False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Canada","Playground,PublicTransit,Shopping","Playground,PublicTransit,Shopping",NA,"Brick,Metal",NA,NA,NA,NA,"Forsale",NA,NA,"Centralairconditioning","Security,SprinklerSystem-Fire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1684",NA,NA,NA,NA,"390000","2","2",NA,NA,"1010",NA,"4165839","Other",NA,NA,"2(Full:23/4:01/2:0Other:0)","Active","Other1car","1","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baseboardheaters,Hotwaterradiatorheat",NA,NA,"FireplacePresent-False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Canada","Playground,PublicTransit,Shopping","Playground,PublicTransit,Shopping",NA,"Stucco",NA,NA,"Landscaped","Patio(s)","Forsale",NA,NA,NA,"Security,SprinklerSystem-Fire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1685",NA,NA,NA,NA,"388000","5","2",NA,NA,"1053",NA,"4166247","Other",NA,NA,"2(Full:23/4:01/2:0Other:0)","Active","Detached2cars","1","No",NA,NA,NA,"Finished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-True",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Canada","Playground,PublicTransit,Schools,Shopping","Playground,PublicTransit,Schools,Shopping","Full(Finished)",NA,NA,"Fence",NA,NA,"Forsale",NA,NA,NA,NA,"Apartmentinbasement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1686",NA,NA,NA,NA,"378786","4","3",NA,NA,"1070",NA,"4163811","Other",NA,NA,"3(Full:33/4:01/2:0Other:0)","Active","Detached2cars","1","No",NA,NA,NA,"Finished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Canada","Playground,PublicTransit,Schools,Shopping","Playground,PublicTransit,Schools,Shopping","Full(Finished)",NA,"Backlane,Lowmaintenanceyard,NoAnimalHome,NoSmokingHome","Fence","Landscaped",NA,"Forsale",NA,NA,NA,NA,NA,NA,"Splitlevel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
